Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,
LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,8.1,,,,,7.7,,,,,,9.8,,,,,,,,2.9,,,,,,2.6,,2.8,,,
MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,2.2,,,,,,,,,,
MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,40.9,,30.4,,35.6,,,,,,,36.7,,,,,,,,32.6,,,,,,26.4,,,22.6,
MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,39,,37.9,,,,25.7,,,,,,,,17.7,,,,,,,,14.8,,,,,
MEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.813995361,8.542525291,8.27865696,8.02222538,7.773062706,7.531005383,7.295889854,7.06755352,6.845835209,6.630576611,6.421619892,6.218809128,6.021992207,5.831016541,5.645733356,5.465996265,5.291660309,5.122582912,4.958625317,4.799650192,4.645522594,4.496110916,4.351284981
MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,9.6,,,,,,,10.3,,5.6,,,,4.2,,,6,3.4,,,,,,2.8,,,3.9,4.2,,,4.7,4.6,4.2,
MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,
